testId,label,location,completed_time_stamp,completed_time,run_no,loadTime,fullyLoaded,bytesIn,bytesInDoc,requests,requestsDoc,TTFB,firstPaint,render,SpeedIndex,docTime,ttfb_first_req,ssl_first_req,dns_first_req
171108_1K_86,h1,WPTServer101:Chrome,1510185653,2017-11-08_19-00-53,19,4269,4861,966047,964853,100,98,995,2623,2700,3424,4269,771,108,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,2,4509,5181,1067787,1066593,100,98,1355,2943,2900,3636,4509,1129,111,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,5,4274,4879,1059120,1057926,100,98,984,2591,2600,3373,4274,761,108,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,7,4343,4994,1089817,1088623,100,98,1016,2847,2900,3542,4343,794,105,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,8,4191,4837,993805,992611,100,98,985,2602,2700,3385,4191,784,84,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,9,4246,4852,1054282,1053088,100,98,984,2601,2500,3283,4246,784,83,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,10,4450,4930,1005185,1003991,100,98,1061,2658,2600,3313,4450,833,112,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,12,4657,4856,1072649,1071455,100,98,959,2609,2600,3358,4657,756,85,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,13,4655,4913,1012432,1011238,100,98,1006,2628,2600,3380,4655,772,117,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,15,4388,4857,1068538,1067344,100,98,1002,2675,2700,3400,4388,778,108,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,16,4240,4798,1042777,1041583,100,98,975,2570,2600,3254,4240,780,79,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,17,4491,4909,978541,977347,100,98,993,2670,2700,3407,4491,786,91,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,18,4469,4882,1070667,1069473,100,98,959,2595,2600,3325,4469,762,82,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,19,4226,4805,1011009,1009815,100,98,993,2544,2600,3285,4226,769,109,0
171108_5A_94,h1,WPTServer101:Chrome,1510191782,2017-11-08_20-43-02,20,4299,4892,1072663,1071469,100,98,1013,2694,2700,3394,4299,785,104,0
171108_60_6B,h1,WPTServer102:Chrome,1510172803,2017-11-08_15-26-43,1,8049,8126,1345919,1344769,100,99,2647,5365,5300,6405,8049,1384,132,0
171108_60_6B,h1,WPTServer102:Chrome,1510172803,2017-11-08_15-26-43,3,12701,12774,949383,948233,100,99,1278,3101,3100,7416,12701,1071,84,0
171108_60_6B,h1,WPTServer102:Chrome,1510172803,2017-11-08_15-26-43,4,7016,7709,989054,987860,100,98,959,5420,5400,6150,7016,760,84,0
171108_60_6B,h1,WPTServer102:Chrome,1510172803,2017-11-08_15-26-43,9,7429,8146,1033874,1032680,100,98,881,5879,5900,6644,7429,655,83,0
171108_60_6B,h1,WPTServer102:Chrome,1510172803,2017-11-08_15-26-43,11,24063,24624,1053917,1052723,100,98,949,22362,22400,23103,24063,731,77,0
171108_60_6B,h1,WPTServer102:Chrome,1510172803,2017-11-08_15-26-43,12,12334,12407,983312,982162,100,99,963,10841,10800,11507,12334,759,87,0
171108_60_6B,h1,WPTServer102:Chrome,1510172803,2017-11-08_15-26-43,14,6287,6361,988662,987512,100,99,1013,2618,2700,4267,6287,787,110,0
171108_60_6B,h1,WPTServer102:Chrome,1510172803,2017-11-08_15-26-43,20,6109,6955,1000699,999505,100,98,1057,4506,4500,5279,6109,851,88,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,2,4313,4891,1097533,1096339,100,98,999,2569,2600,3362,4313,760,116,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,3,4128,4984,1035365,1034171,100,98,1013,2582,2500,3291,4128,779,110,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,6,4110,4795,958735,957541,100,98,980,2564,2600,3309,4110,756,88,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,7,4231,5104,978488,977294,100,98,995,2626,2600,3305,4231,788,85,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,9,4745,5399,1054314,1053120,100,98,1477,3097,3100,3844,4745,1253,84,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,10,4195,5121,993211,992017,100,98,997,2681,2700,3407,4195,766,111,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,11,4116,5043,1034923,1033729,100,98,964,2624,2700,3385,4116,760,82,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,13,4185,4852,976868,975674,100,98,986,2602,2600,3334,4185,778,84,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,14,4311,4961,976095,974901,100,98,1041,2648,2700,3450,4311,788,121,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,16,4351,5052,963291,962097,100,98,999,2797,2800,3544,4351,769,107,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,17,4082,4989,993709,992515,100,98,1016,2631,2700,3372,4082,764,110,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,18,4304,4916,1048561,1047367,100,98,973,2604,2700,3379,4304,771,78,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,19,4296,4961,981873,980679,100,98,1060,2689,2700,3418,4296,799,136,0
171108_6V_CW,h1,WPTServer101:Chrome,1510216368,2017-11-09_03-32-48,20,4290,4840,964745,963551,100,98,1011,2567,2500,3283,4290,778,117,0
171108_7N_95,h1,WPTServer102:Chrome,1510191806,2017-11-08_20-43-26,2,5188,5256,1082562,1081412,100,99,1004,2673,2700,3436,5188,768,114,0
171108_7N_95,h1,WPTServer102:Chrome,1510191806,2017-11-08_20-43-26,3,4598,4792,993614,992420,100,98,1001,2570,2600,3336,4598,777,85,0
171108_7N_95,h1,WPTServer102:Chrome,1510191806,2017-11-08_20-43-26,5,4546,4891,1018093,1016899,100,98,965,2634,2700,3331,4546,734,109,0
171108_7N_95,h1,WPTServer102:Chrome,1510191806,2017-11-08_20-43-26,8,4078,4618,1025520,1024326,100,98,829,2458,2500,3225,4078,622,83,0
171108_7N_95,h1,WPTServer102:Chrome,1510191806,2017-11-08_20-43-26,10,4272,4782,1064318,1063124,100,98,975,2572,2600,3325,4272,770,81,0
171108_7N_95,h1,WPTServer102:Chrome,1510191806,2017-11-08_20-43-26,11,4818,4888,1012525,1011331,100,98,981,2614,2600,3320,4818,771,85,0
171108_7N_95,h1,WPTServer102:Chrome,1510191806,2017-11-08_20-43-26,13,4338,4801,991800,990606,100,98,967,2579,2600,3307,4338,758,85,0
171108_7N_95,h1,WPTServer102:Chrome,1510191806,2017-11-08_20-43-26,17,4472,4953,1020889,1019695,100,98,1022,2698,2700,3468,4472,823,84,0
171108_7N_95,h1,WPTServer102:Chrome,1510191806,2017-11-08_20-43-26,18,4360,4940,1113993,1112799,100,98,1068,2688,2600,3354,4360,831,113,0
171108_7N_95,h1,WPTServer102:Chrome,1510191806,2017-11-08_20-43-26,20,4192,4877,989273,988079,100,98,999,2665,2600,3336,4192,770,108,0
171108_BS_78,h1,WPTServer101:Chrome,1510179496,2017-11-08_17-18-16,6,4083,4796,1015031,1013837,100,98,956,2550,2500,3207,4083,750,82,0
171108_BS_78,h1,WPTServer101:Chrome,1510179496,2017-11-08_17-18-16,7,4266,4841,1080406,1079212,100,98,968,2558,2600,3343,4266,759,85,0
171108_BS_78,h1,WPTServer101:Chrome,1510179496,2017-11-08_17-18-16,9,4684,5354,1018194,1017000,100,98,1485,3136,3200,3903,4684,1244,118,0
171108_BS_78,h1,WPTServer101:Chrome,1510179496,2017-11-08_17-18-16,10,4313,4858,1024242,1023048,100,98,1033,2640,2600,3297,4313,783,114,0
171108_BS_78,h1,WPTServer101:Chrome,1510179496,2017-11-08_17-18-16,11,4141,4816,1003990,1002796,100,98,966,2596,2600,3338,4141,758,86,0
171108_BS_78,h1,WPTServer101:Chrome,1510179496,2017-11-08_17-18-16,12,4401,4978,1022058,1020864,100,98,1016,2633,2600,3362,4401,783,109,0
171108_BS_78,h1,WPTServer101:Chrome,1510179496,2017-11-08_17-18-16,13,4211,4934,1061352,1060158,100,98,1049,2689,2700,3407,4211,789,109,0
171108_BS_78,h1,WPTServer101:Chrome,1510179496,2017-11-08_17-18-16,15,4203,4879,1019400,1018206,100,98,990,2633,2600,3336,4203,782,85,0
171108_BS_78,h1,WPTServer101:Chrome,1510179496,2017-11-08_17-18-16,16,4226,4910,985289,984095,100,98,980,2641,2700,3407,4226,772,83,0
171108_BS_78,h1,WPTServer101:Chrome,1510179496,2017-11-08_17-18-16,19,4307,4966,976541,975347,100,98,1033,2671,2600,3407,4307,793,116,0
171108_E7_CX,h1,WPTServer102:Chrome,1510216521,2017-11-09_03-35-21,2,4321,5135,1218118,1216924,100,98,1067,2739,2800,3454,4321,859,90,0
171108_E7_CX,h1,WPTServer102:Chrome,1510216521,2017-11-09_03-35-21,6,4087,4843,1058367,1057173,100,98,966,2662,2600,3315,4087,762,87,0
171108_E7_CX,h1,WPTServer102:Chrome,1510216521,2017-11-09_03-35-21,7,4002,4738,985224,984030,100,98,993,2604,2700,3409,4002,761,115,0
171108_E7_CX,h1,WPTServer102:Chrome,1510216521,2017-11-09_03-35-21,8,4274,4963,952790,951596,100,98,996,2662,2700,3395,4274,769,111,0
171108_E7_CX,h1,WPTServer102:Chrome,1510216521,2017-11-09_03-35-21,10,4250,4960,1113192,1111998,100,98,1010,2611,2600,3407,4250,808,85,0
171108_E7_CX,h1,WPTServer102:Chrome,1510216521,2017-11-09_03-35-21,12,4194,4873,989605,988411,100,98,995,2634,2600,3318,4194,765,114,0
171108_E7_CX,h1,WPTServer102:Chrome,1510216521,2017-11-09_03-35-21,14,4349,4900,1001816,1000622,100,98,982,2644,2700,3397,4349,785,81,0
171108_E7_CX,h1,WPTServer102:Chrome,1510216521,2017-11-09_03-35-21,17,4325,4923,1007286,1006092,100,98,973,2677,2700,3400,4325,774,83,0
171108_E7_CX,h1,WPTServer102:Chrome,1510216521,2017-11-09_03-35-21,18,4443,4953,984186,982992,100,98,989,2647,2700,3453,4443,761,106,0
171108_E7_CX,h1,WPTServer102:Chrome,1510216521,2017-11-09_03-35-21,20,4097,4785,1050889,1049695,100,98,860,2540,2600,3336,4097,637,108,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,1,7742,7835,1369419,1368269,100,99,2235,5019,5100,6160,7742,1319,127,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,2,4016,4709,1089609,1088415,100,98,873,2465,2500,3229,4016,674,83,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,4,4698,5405,985389,984195,100,98,1557,3167,3100,3889,4698,1319,122,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,5,12608,13259,993120,991926,100,98,1483,11030,11000,11707,12608,1254,112,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,6,4194,4917,1002165,1000971,100,98,1013,2647,2700,3401,4194,789,83,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,7,5177,5820,1068989,1067795,100,98,1802,3448,3500,4142,5177,758,105,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,8,7763,7835,1044232,1043082,100,99,1050,3038,3000,4998,7763,798,109,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,9,4224,4880,980955,979761,100,98,1013,2677,2700,3407,4224,748,110,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,10,4216,4890,1060745,1059551,100,98,998,2644,2700,3379,4216,774,84,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,12,6427,6970,1012016,1010822,100,98,1087,4996,4900,5624,6427,884,80,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,14,6197,6271,1043524,1042374,100,99,982,4841,4800,5377,6197,758,83,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,15,4169,4834,1203148,1201954,100,98,1006,2641,2600,3336,4169,802,86,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,17,12748,12820,972901,971751,100,99,1030,2644,2600,7015,12748,798,92,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,20,6750,6821,991079,989929,100,99,1059,2731,2700,4505,6750,805,113,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,1,5595,5662,1028344,1027194,100,99,1277,4144,4100,4742,5595,1029,131,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,2,6237,6312,1115832,1114682,100,99,2518,4628,4600,5319,6237,2266,108,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,3,8599,8674,1061171,1060021,100,99,1883,7056,7000,7711,8599,1676,84,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,5,5640,5712,1086541,1085391,100,99,1400,4029,4000,4662,5640,1188,87,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,7,9661,9738,1056588,1055438,100,99,1839,8156,8100,8749,9661,1605,118,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,8,4917,4999,1001069,999875,100,98,1175,3521,3500,4170,4917,941,116,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,9,6597,6670,1099660,1098510,100,99,1462,4789,4800,5604,6597,1233,110,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,10,7433,7508,1081346,1080196,100,99,1271,5914,6000,6637,7433,1072,82,0
